source_file,line,link_text,raw_target,mapped_file,exists,note,candidate_paths,match_confidence
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,68,Business App Automations overview,../automations/index.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/contacts/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-chat-receptionist/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/executivereport/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/crm-objects/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/connections/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/store/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/yesware/contacts/index.md,multiple
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,69,Automation templates and recipes,../automations/templates-and-recipes.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/templates-and-recipes.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,70,Automation messaging options,../automations/messaging.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/messaging.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,144,Contact lists for targeted outreach,./lists.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/lists.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,145,CRM forms for lead capture,./forms.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/forms.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,148,Automations overview,../automations/index.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/contacts/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-chat-receptionist/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/executivereport/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/crm-objects/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/connections/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/store/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/yesware/contacts/index.md,multiple
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,149,Automation templates,../automations/templates-and-recipes.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/templates-and-recipes.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,150,Email messaging in automations,../automations/messaging.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/messaging.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,153,CRM opportunities,./opportunities.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/opportunities.md,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,154,Activity feed,./activity-feed.md,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/activity-feed.md,unique
docusaurus/docs/business-app/crm/contacts/index.md,40,CSV Upload,../img/contacts/csv-upload.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/contacts/csv-upload.jpg,unique
docusaurus/docs/business-app/crm/contacts/index.md,41,Field Mapping,../img/contacts/field-mapping.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/contacts/field-mapping.jpg,unique
docusaurus/docs/business-app/crm/contacts/index.md,66,Three dots menu,../img/contacts/pause-resume-campaigns/three-dots-menu.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/contacts/pause-resume-campaigns/three-dots-menu.jpg,unique
docusaurus/docs/business-app/conversations/conversations-whatsapp-overview.md,27,WhatsApp Setup,./img/conversations_whatsapp_setup.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/img/conversations_whatsapp_setup.png,unique
docusaurus/docs/business-app/conversations/conversations-whatsapp-overview.md,35,Digital Agency Connection,./img/conversations_whatsapp_connect_digital_agency.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/img/conversations_whatsapp_connect_digital_agency.png,unique
docusaurus/docs/business-app/conversations/conversations-whatsapp-overview.md,41,WhatsApp Setup,./img/conversations_whatsapp_socialreputation.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/img/conversations_whatsapp_socialreputation.png,unique
docusaurus/docs/business-app/conversations/conversations-whatsapp-overview.md,58,Final Setup,./img/conversations_whatsapp_finalsetup.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/img/conversations_whatsapp_finalsetup.png,unique
docusaurus/docs/business-app/conversations/conversations-send-receive-sms.md,13,SMS Configuration,../administration/sms_configuration.md,docusaurus/docs/business-app/administration/sms_configuration.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/sms_configuration.md,unique
docusaurus/docs/business-app/conversations/index.mdx,74,Set up Email for Conversations,./conversations-send-receive-emails.md,docusaurus/docs/business-app/conversations/conversations-send-receive-emails.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-send-receive-emails.md,unique
docusaurus/docs/business-app/conversations/index.mdx,75,Set up Facebook Messenger for Conversations,./conversations-setup-facebook-messenger.md,docusaurus/docs/business-app/conversations/conversations-setup-facebook-messenger.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-setup-facebook-messenger.md,unique
docusaurus/docs/business-app/conversations/index.mdx,76,Set up Instagram Messaging for Conversations,./conversations-setup-instagram.md,docusaurus/docs/business-app/conversations/conversations-setup-instagram.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-setup-instagram.md,unique
docusaurus/docs/business-app/conversations/index.mdx,77,Set up AI Web Chat for Conversations,./conversations-ai-web-chat-overview.md,docusaurus/docs/business-app/conversations/conversations-ai-web-chat-overview.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-ai-web-chat-overview.md,unique
docusaurus/docs/business-app/conversations/index.mdx,78,Set up WhatsApp for Conversations,./conversations-whatsapp-overview.md,docusaurus/docs/business-app/conversations/conversations-whatsapp-overview.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-whatsapp-overview.md,unique
docusaurus/docs/business-app/conversations/index.mdx,79,Set up SMS for Conversations,./conversations-send-receive-sms.md,docusaurus/docs/business-app/conversations/conversations-send-receive-sms.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-send-receive-sms.md,unique
docusaurus/docs/business-app/conversations/index.mdx,80,Set up phone calls for Conversations,/business-app/ai/ai-workforce/ai-voice-receptionist,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,fuzzy_unique
docusaurus/docs/business-app/conversations/index.mdx,121,AI Workforce Overview,/business-app/ai/ai-workforce/ai_workforce_overview,docusaurus/docs/business-app/ai/ai-workforce/ai_workforce_overview.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai_workforce_overview.md,fuzzy_unique
docusaurus/docs/business-app/conversations/index.mdx,130,AI Web Chat Overview,./conversations-ai-web-chat-overview.md,docusaurus/docs/business-app/conversations/conversations-ai-web-chat-overview.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-ai-web-chat-overview.md,unique
docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,16,AI Voice Receptionist Guide,../ai/ai-workforce/ai-voice-receptionist.md,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,unique
docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,57,AI Voice Receptionist Guide,../ai/ai-workforce/ai-voice-receptionist.md,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,unique
docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,72,AI Voice Receptionist Guide,../ai/ai-workforce/ai-voice-receptionist.md,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,unique
docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,127,Transfer calls to other numbers,../ai/ai-workforce/ai-voice-receptionist.md#transfer-calls-to-other-numbers,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,unique
docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,157,AI Voice Receptionist Guide,../ai/ai-workforce/ai-voice-receptionist.md,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,unique
docusaurus/docs/business-app/conversations/conversations-setup-instagram.md,27,Step 1: Sign in with Instagram,./img/Inbox_instagram_stepone.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/img/Inbox_instagram_stepone.png,unique
docusaurus/docs/business-app/conversations/conversations-setup-instagram.md,35,Step 3: Select Instagram account,./img/Inbox_instagram_stepthree.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/img/Inbox_instagram_stepthree.png,unique
docusaurus/docs/business-app/ai/ai-models-and-privacy.md,24,Configure capabilities,./ai-capabilities/configuring-capabilities.md,docusaurus/docs/business-app/ai/ai-capabilities/configuring-capabilities.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-capabilities/configuring-capabilities.md,unique
docusaurus/docs/business-app/ai/ai-models-and-privacy.md,25,Knowledge base,./knowledge-base.md,docusaurus/docs/business-app/ai/knowledge-base.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/knowledge-base.md,unique
docusaurus/docs/business-app/ai/index.md,81,Knowledge Base Overview,./knowledge-base.md,docusaurus/docs/business-app/ai/knowledge-base.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/knowledge-base.md,unique
docusaurus/docs/business-app/ai/ai-capabilities/index.mdx,54,Transfer calls to other numbers,../ai-workforce/ai-voice-receptionist.md#transfer-calls-to-other-numbers,docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,unique
docusaurus/docs/business-app/ai/ai-capabilities/index.mdx,100,How to Configure AI Capabilities,./configuring-capabilities,docusaurus/docs/business-app/ai/ai-capabilities/configuring-capabilities.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-capabilities/configuring-capabilities.md,fuzzy_unique
docusaurus/docs/business-app/ai/ai-capabilities/index.mdx,101,Creating Custom Capabilities,./creating-custom-capabilities,docusaurus/docs/business-app/ai/ai-capabilities/creating-custom-capabilities.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-capabilities/creating-custom-capabilities.md,fuzzy_unique
docusaurus/docs/business-app/ai/ai-capabilities/configuring-capabilities.md,169,Learn how to build custom capabilities,./creating-custom-capabilities,docusaurus/docs/business-app/ai/ai-capabilities/creating-custom-capabilities.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-capabilities/creating-custom-capabilities.md,fuzzy_unique
docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,32,AI Voice Receptionist Call Flow,../img/ai-voice-receptionist-call-flow.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/img/ai-voice-receptionist-call-flow.png,unique
docusaurus/docs/business-app/ai/ai-workforce/ai-voice-receptionist.md,50,Call Forwarding Setup in Conversations,../../conversations/conversations-setup-phone-calls.md,docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/conversations/conversations-setup-phone-calls.md,unique
